bin,score_min,score_max,count,avg_predicted_score,actual_rate,calibration_gap,abs_calibration_gap
1,0.090651,0.094298,2,0.0924745,0.0,0.0924745,0.0924745
2,0.105807,0.192075,26,0.15583415384615387,0.2692307692307692,-0.11339661538461535,0.11339661538461535
3,0.205886,0.298217,45,0.25301622222222225,0.26666666666666666,-0.01365044444444441,0.01365044444444441
4,0.300686,0.398113,47,0.34781082978723404,0.2127659574468085,0.13504487234042553,0.13504487234042553
5,0.400468,0.49808,30,0.44829033333333335,0.4666666666666667,-0.018376333333333328,0.018376333333333328
6,0.513508,0.599272,23,0.5439075652173913,0.5652173913043478,-0.02130982608695653,0.02130982608695653
7,0.602012,0.698302,13,0.6466293076923078,0.7692307692307693,-0.12260146153846152,0.12260146153846152
8,0.70329,0.787511,10,0.7353533999999999,0.8,-0.06464660000000011,0.06464660000000011
9,0.812268,0.853214,4,0.8351230000000001,0.5,0.33512300000000006,0.33512300000000006
